reg_no | sem | branch_code | subject_code | subject_name | subject_type | credit | old_shown_grade | new_shown_grade | should_be_grade | shown_gp | corrected_gp | delta_points | new_ese | new_ia | new_total | old_result_url | new_result_url
22101106025 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | D | C | 6 | 7 | 3.00 | 43^ | 26 | 69 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101106025 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101106025&exam_held=November%2F2025
22101106029 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 25^ | 26 | 51 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101106029 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101106029&exam_held=November%2F2025
22101108013 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | D | C | 6 | 7 | 4.00 | 37^ | 24 | 61 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101108013 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101108013&exam_held=November%2F2025
22101108028 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 40^ | 18 | 58 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101108028 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101108028&exam_held=November%2F2025
22101108030 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 30^ | 29 | 59 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101108030 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101108030&exam_held=November%2F2025
22101108035 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 33^ | 21 | 54 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101108035 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101108035&exam_held=November%2F2025
22101108043 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 33^ | 21 | 54 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101108043 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101108043&exam_held=November%2F2025
22101109052 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | D | C | 6 | 7 | 3.00 | 34^ | 26 | 60 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101109052 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101109052&exam_held=November%2F2025
22101110015 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 31^ | 23 | 54 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101110015 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101110015&exam_held=November%2F2025
22101110041 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 34^ | 23 | 57 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101110041 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101110041&exam_held=November%2F2025
