reg_no | branch_code | subject_codes | subject_names | reason | old_result_url | new_result_url
22101108005 | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | Malformed ESE/total/grade values in current result | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22101108005 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101108005&exam_held=November%2F2025
22105125009 | 105 | 100202 | ENGINEERING GRAPHICS & DESIGN | Unexpected pattern: expected F, published P | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22105125009 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22105125009&exam_held=November%2F2025
22105134010 | 105 | 100202 | ENGINEERING GRAPHICS & DESIGN | Unexpected pattern: expected F, published P | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22105134010 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22105134010&exam_held=November%2F2025
22110111033 | 110 | 100202 | ENGINEERING GRAPHICS & DESIGN | Unexpected pattern: expected F, published P | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22110111033 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22110111033&exam_held=November%2F2025
22110126043 | 110 | 100202 | ENGINEERING GRAPHICS & DESIGN | Unexpected pattern: expected F, published P | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22110126043 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22110126043&exam_held=November%2F2025
22153145007 | 153 | 100202 | ENGINEERING GRAPHICS & DESIGN | Unexpected pattern: expected F, published P | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22153145007 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22153145007&exam_held=November%2F2025
22155135050 | 155 | 100202 | ENGINEERING GRAPHICS & DESIGN | Unexpected pattern: expected F, published P | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22155135050 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22155135050&exam_held=November%2F2025
23101148009 | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | Unexpected pattern: expected F, published P | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23101148009 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23101148009&exam_held=November%2F2025
23104131040 | 104 | 100202 | ENGINEERING GRAPHICS & DESIGN | Unexpected pattern: expected F, published P | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23104131040 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23104131040&exam_held=November%2F2025
23104155006 | 104 | 100202 | ENGINEERING GRAPHICS & DESIGN | Unexpected pattern: expected F, published P | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23104155006 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23104155006&exam_held=November%2F2025
